2026-06-18 01:50:21  No data posted with HTTP POST.
2026-06-18 02:36:06  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('71.28', '1.002675', '28.61', '21.14', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '21:0:1', '1477', '0', '0', '100', '20:6:31', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:36:34  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('69.74', '1.002763', '35.56', '20.66', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:36:35', '1175', '0', '0', '100', '20:7:0', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:37:03  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('69.42', '1.002803', '39.29', '20.75', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:37:4', '1099', '0', '0', '100', '20:7:29', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:37:33  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('69.24', '1.002832', '40.51', '20.79', '0.00', '0', '-2.00', '-71.6330', '-33.0381', '1.9', '0.43', '20:37:33', '1008', '0', '0', '100', '20:7:59', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:38:02  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('69.30', '1.002862', '40.12', '20.80', '0.00', '0', '-2.00', '-71.6330', '-33.0381', '2.5', '2.44', '20:38:2', '1535', '0', '0', '100', '20:8:28', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:38:32  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('68.98', '1.002832', '41.69', '20.85', '0.00', '0', '-2.00', '-71.6330', '-33.0380', '5.3', '1.26', '20:38:32', '1716', '0', '0', '100', '20:8:58', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:39:02  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('68.91', '1.002813', '42.02', '20.86', '0.00', '0', '-2.00', '-71.6331', '-33.0382', '4.2', '3.52', '20:39:3', '1681', '0', '0', '100', '20:9:28', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:39:33  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('68.85', '1.002793', '42.63', '20.89', '0.00', '0', '-2.00', '-71.6331', '-33.0382', '5.6', '1.61', '20:39:33', '1115', '0', '0', '100', '20:9:59', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:40:03  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('68.69', '1.002832', '42.71', '20.90', '0.00', '0', '-2.00', '-71.6332', '-33.0383', '1.8', '1.06', '20:40:4', '1159', '0', '0', '100', '20:10:29', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:40:33  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('68.66', '1.002832', '42.89', '20.92', '0.00', '0', '-2.00', '-71.6331', '-33.0381', '1.3', '0.11', '20:40:34', '1606', '0', '0', '100', '20:10:59', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:41:03  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('68.38', '1.002813', '44.40', '20.97', '0.00', '0', '-2.00', '-71.6331', '-33.0382', '6.9', '3.20', '20:41:3', '1864', '0', '0', '100', '20:11:29', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:41:33  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('68.24', '1.002783', '44.50', '21.01', '0.00', '0', '-2.00', '-71.6329', '-33.0381', '18.2', '1.11', '20:41:33', '1200', '0', '0', '100', '20:11:59', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:42:03  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('68.10', '1.002753', '45.47', '21.02', '0.00', '0', '-2.00', '-71.6329', '-33.0382', '23.9', '0.19', '20:42:3', '1307', '0', '0', '100', '20:12:29', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:42:34  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('68.08', '1.002744', '44.12', '21.02', '0.00', '0', '-2.00', '-71.6330', '-33.0382', '19.6', '1.02', '20:42:35', '1456', '0', '0', '100', '20:13:0', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:43:03  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('68.04', '1.002714', '44.83', '21.01', '0.00', '0', '-2.00', '-71.6322', '-33.0375', '130.8', '3.83', '20:43:5', '1151', '0', '0', '100', '20:13:29', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
